Education_Key,enrolment_rate,dropout_rate,literacy_rate,spending_on_edu,,,
1,99.69,,99.00,,,2005,US
2,99.80,,99.00,,,2006,
3,99.70,,99.00,,,2007,
4,99.15,,99.00,,,2008,
5,97.77,,99.00,,,2009,
6,98.64,,99.00,,,2010,
7,99.02,,99.00,,,2011,
8,99.78,,99.00,,,2012,
9,99.05,,99.00,1.73,,2013,
10,99.80,1.97,99.00,1.71,,2014,
11,98.97,2.52,99.00,1.71,,2015,
12,99.38,2.54,99.00,1.71,,2016,
13,99.54,3.47,99.00,1.74,,2017,
14,98.85,4.51,99.00,,,2018,
15,99.13,,99.00,,,2019,
16,99.12,,99.00,,,2020,
17,,,99.00,,,2005,CAN
18,,,99.00,,,2006,
19,,,99.00,,,2007,
20,,,99.00,,,2008,
21,,,99.00,,,2009,
22,,,99.00,,,2010,
23,,,99.00,1.39,,2011,
24,99.93,3.42,99.00,,,2012,
25,99.71,4.15,99.00,,,2013,
26,99.51,5.02,99.00,,,2014,
27,99.70,8.04,99.00,,,2015,
28,,8.52,99.00,,,2016,
29,,8.02,99.00,,,2017,
30,,7.49,99.00,,,2018,
31,,,99.00,,,2019,
32,,,99.00,,,2020,
33,92.21,16.93,91.60,1.47,,2005,MEX
34,94.06,15.97,91.70,1.40,,2006,
35,96.61,15.31,92.80,1.38,,2007,
36,97.57,15.94,92.90,1.38,,2008,
37,96.76,17.70,93.40,1.57,,2009,
38,95.67,19.45,93.10,1.56,,2010,
39,93.10,23.24,93.50,1.57,,2011,
40,92.80,24.56,94.20,1.60,,2012,
41,92.85,24.35,94.00,1.65,,2013,
42,94.15,24.11,94.60,1.68,,2014,
43,94.61,23.62,94.50,1.69,,2015,
44,94.77,23.60,94.90,1.62,,2016,
45,94.34,24.37,95.00,1.50,,2017,
46,92.97,25.08,95.40,,,2018,
47,,,95.30,,,2019,
48,,,95.20,,,2020,
49,35.06,73.19,28.70,,,2005,NIG
50,34.10,,28.90,0.55,,2006,
51,30.97,76.44,29.00,0.59,,2007,
52,29.02,78.18,29.30,0.58,,2008,
53,,,29.10,0.70,,2009,
54,,,29.60,0.58,,2010,
55,20.84,84.32,30.00,0.75,,2011,
56,21.05,84.45,30.60,0.76,,2012,
57,19.98,85.40,31.30,0.93,,2013,
58,20.53,84.74,32.20,1.49,,2014,
59,21.64,84.30,33.60,1.45,,2015,
60,,,34.70,0.52,,2016,
61,17.65,86.77,34.90,0.45,,2017,
62,,,35.00,,,2018,
63,,,35.20,,,2019,
64,,,35.30,,,2020,
65,,,28.00,,,2005,SIL
66,,,28.20,,,2006,
67,,,28.50,0.63,,2007,
68,,,29.00,0.60,,2008,
69,,,29.10,0.79,,2009,
70,,,29.60,0.68,,2010,
71,,,30.00,0.70,,2011,
72,,,31.30,0.69,,2012,
73,50.97,58.02,32.40,0.53,,2013,
74,61.40,50.79,33.00,0.62,,2014,
75,,,35.40,,,2015,
76,57.94,52.59,38.90,0.37,,2016,
77,,,42.00,0.94,,2017,
78,59.59,56.02,43.20,1.43,,2018,
79,,,43.30,1.47,,2019,
80,,,44.00,,,2020,
81,,,20.00,0.60,,2005,CHA
82,,,20.00,,,2006,
83,,,20.00,,,2007,
84,,,20.00,,,2008,
85,,,20.00,0.66,,2009,
86,,,20.00,0.54,,2010,
87,,,20.00,0.79,,2011,
88,,,20.00,0.46,,2012,
89,,,20.00,0.70,,2013,
90,,,20.00,,,2014,
91,37.78,68.45,26.00,,,2015,
92,39.41,67.84,22.30,,,2016,
93,34.01,71.89,22.30,,,2017,
94,39.27,68.19,22.30,0.45,,2018,
95,38.11,69.58,22.30,,,2019,
96,,,22.30,,,2020,
97,,,30.00,,,2005,SRI
98,,,30.00,,,2006,
99,,,30.00,,,2007,
100,,,30.00,,,2008,
101,,,30.00,0.99,,2009,
102,99.87,7.83,30.00,0.91,,2010,
103,98.67,9.91,30.00,0.93,,2011,
104,,,30.00,0.76,,2012,
105,,,32.40,0.80,,2013,
106,,,32.40,0.91,,2014,
107,94.10,,32.40,1.05,,2015,
108,93.42,,32.40,1.74,,2016,
109,92.97,13.71,32.40,1.43,,2017,
110,93.22,14.94,43.20,0.97,,2018,
111,,,43.20,,,2019,
112,,,43.20,,,2020,
113,74.29,44.98,46.70,,,2005,BAG
114,72.68,46.04,46.70,0.93,,2006,
115,,,46.70,0.90,,2007,
116,,,46.70,0.81,,2008,
117,69.61,52.07,46.70,0.78,,2009,
118,69.92,52.77,46.70,0.98,,2010,
119,,,58.80,0.88,,2011,
120,,,57.90,0.85,,2012,
121,,,61.00,,,2013,
122,,,61.10,,,2014,
123,,,65.10,,,2015,
124,,,72.80,0.99,,2016,
125,,,72.90,,,2017,
126,,,73.90,,,2018,
127,,,74.70,0.84,,2019,
128,,,74.90,,,2020,
129,52.95,,29.80,,,2005,ETH
130,52.68,,32.00,,,2006,
131,,,39.00,,,2007,
132,59.66,,39.00,,,2008,
133,57.98,,39.00,1.08,,2009,
134,58.97,,39.00,1.12,,2010,
135,56.63,,39.00,1.40,,2011,
136,58.50,,45.40,1.41,,2012,
137,57.49,,45.40,1.32,,2013,
138,55.53,55.54,45.40,0.76,,2014,
139,51.47,54.88,45.40,0.86,,2015,
140,,,45.40,,,2016,
141,,,51.80,,,2017,
142,,,51.80,,,2018,
143,,,51.80,,,2019,
144,,,51.80,,,2020,
