EmployementKey,EducationKey,DiseaseKey,MedicalKey,NutritionKey,SubstanceKey,CrimeKey,CountryKey,sr_year,sr_month,average_age,suicide_rate
1,1,1,1,1,1,1,1,2005,jan-dec,31,11.9
2,2,2,2,2,2,2,2,2006,jan-dec,40,12.1
3,3,3,3,3,3,3,3,2007,jan-dec,34,12.4
4,4,4,4,4,4,4,4,2008,jan-dec,30,12.7
5,5,5,5,5,5,5,5,2009,jan-dec,38,12.8
6,6,6,6,6,6,6,6,2010,jan-dec,31,13.1
7,7,7,7,7,7,7,7,2011,jan-dec,36,13.4
8,8,8,8,8,8,8,8,2012,jan-dec,30,13.5
9,9,9,9,9,9,9,9,2013,jan-dec,29,13.5
10,10,10,10,10,10,10,10,2014,jan-dec,36,14
11,11,11,11,11,11,11,11,2015,jan-dec,27,14.4
12,12,12,12,12,12,12,12,2016,jan-dec,28,15.1
13,13,13,13,13,13,13,13,2017,jan-dec,28,15.9
14,14,14,14,14,14,14,14,2018,jan-dec,39,15.7
15,15,15,15,15,15,15,15,2019,jan-dec,26,16.1
16,16,16,16,16,16,16,16,2020,jan-dec,31,
17,17,17,17,17,17,17,17,2005,jan-dec,36,12.2
18,18,18,18,18,18,18,18,2006,jan-dec,28,11.2
19,19,19,19,19,19,19,19,2007,jan-dec,26,11.5
20,20,20,20,20,20,20,20,2008,jan-dec,29,11.5
21,21,21,21,21,21,21,21,2009,jan-dec,37,12
22,22,22,22,22,22,22,22,2010,jan-dec,26,12.1
23,23,23,23,23,23,23,23,2011,jan-dec,27,11.3
24,24,24,24,24,24,24,24,2012,jan-dec,35,11.8
25,25,25,25,25,25,25,25,2013,jan-dec,29,12.1
26,26,26,26,26,26,26,26,2014,jan-dec,40,12.7
27,27,27,27,27,27,27,27,2015,jan-dec,35,13
28,28,28,28,28,28,28,28,2016,jan-dec,28,11.9
29,29,29,29,29,29,29,29,2017,jan-dec,39,13
30,30,30,30,30,30,30,30,2018,jan-dec,30,12
31,31,31,31,31,31,31,31,2019,jan-dec,27,11.8
32,32,32,32,32,32,32,32,2020,jan-dec,36,
33,33,33,33,33,33,33,33,2005,jan-dec,28,4.1
34,34,34,34,34,34,34,34,2006,jan-dec,35,4
35,35,35,35,35,35,35,35,2007,jan-dec,33,4.1
36,36,36,36,36,36,36,36,2008,jan-dec,40,4.4
37,37,37,37,37,37,37,37,2009,jan-dec,27,4.6
38,38,38,38,38,38,38,38,2010,jan-dec,38,4.5
39,39,39,39,39,39,39,39,2011,jan-dec,33,5.2
40,40,40,40,40,40,40,40,2012,jan-dec,31,4.9
41,41,41,41,41,41,41,41,2013,jan-dec,35,5.2
42,42,42,42,42,42,42,42,2014,jan-dec,38,5.7
43,43,43,43,43,43,43,43,2015,jan-dec,40,5.6
44,44,44,44,44,44,44,44,2016,jan-dec,40,5.6
45,45,45,45,45,45,45,45,2017,jan-dec,36,5.9
46,46,46,46,46,46,46,46,2018,jan-dec,39,5.4
47,47,47,47,47,47,47,47,2019,jan-dec,33,5.3
48,48,48,48,48,48,48,48,2020,jan-dec,38,
49,49,49,49,49,49,49,49,2005,jan-dec,38,5.3
50,50,50,50,50,50,50,50,2006,jan-dec,27,5.2
51,51,51,51,51,51,51,51,2007,jan-dec,32,5.3
52,52,52,52,52,52,52,52,2008,jan-dec,39,5.2
53,53,53,53,53,53,53,53,2009,jan-dec,37,5.3
54,54,54,54,54,54,54,54,2010,jan-dec,30,5.3
55,55,55,55,55,55,55,55,2011,jan-dec,28,5.4
56,56,56,56,56,56,56,56,2012,jan-dec,38,5.5
57,57,57,57,57,57,57,57,2013,jan-dec,29,5.5
58,58,58,58,58,58,58,58,2014,jan-dec,35,5.5
59,59,59,59,59,59,59,59,2015,jan-dec,28,5.4
60,60,60,60,60,60,60,60,2016,jan-dec,33,5.3
61,61,61,61,61,61,61,61,2017,jan-dec,37,5.3
62,62,62,62,62,62,62,62,2018,jan-dec,29,5.3
63,63,63,63,63,63,63,63,2019,jan-dec,31,5.3
64,64,64,64,64,64,64,64,2020,jan-dec,31,
65,65,65,65,65,65,65,65,2005,jan-dec,33,6
66,66,66,66,66,66,66,66,2006,jan-dec,34,6.5
