Nutrition_Key,pct_undernourished,pct_overweight,,,,,
1,2.50,61.90,,,,2005,US
2,2.50,62.50,,,,2006,
3,2.50,63.10,,,,2007,
4,2.50,63.70,,,,2008,
5,2.50,64.20,,,,2009,
6,2.50,64.80,,,,2010,
7,2.50,65.30,,,,2011,
8,2.50,65.80,,,,2012,
9,2.50,66.40,,,,2013,
10,2.50,66.90,,,,2014,
11,2.50,67.40,,,,2015,
12,2.50,67.90,,,,2016,
13,2.50,,,,,2017,
14,2.50,,,,,2018,
15,2.50,,,,,2019,
16,,,,,,2020,
17,2.50,58.60,,,,2005,CAN
18,2.50,59.20,,,,2006,
19,2.50,59.70,,,,2007,
20,2.50,60.20,,,,2008,
21,2.50,60.70,,,,2009,
22,2.50,61.20,,,,2010,
23,2.50,61.70,,,,2011,
24,2.50,62.20,,,,2012,
25,2.50,62.70,,,,2013,
26,2.50,63.20,,,,2014,
27,2.50,63.70,,,,2015,
28,2.50,64.10,,,,2016,
29,2.50,,,,,2017,
30,2.50,,,,,2018,
31,2.50,,,,,2019,
32,,,,,,2020,
33,4.40,58.90,,,,2005,MEX
34,4.10,59.50,,,,2006,
35,4.10,60.10,,,,2007,
36,4.50,60.60,,,,2008,
37,4.80,61.20,,,,2009,
38,5.00,61.70,,,,2010,
39,4.90,62.30,,,,2011,
40,4.80,62.80,,,,2012,
41,4.30,63.30,,,,2013,
42,4.40,63.90,,,,2014,
43,5.00,64.40,,,,2015,
44,5.80,64.90,,,,2016,
45,6.10,,,,,2017,
46,6.20,,,,,2018,
47,7.20,,,,,2019,
48,,,,,,2020,
49,,16.90,,,,2005,NIG
50,,17.30,,,,2006,
51,,17.70,,,,2007,
52,,18.20,,,,2008,
53,,18.60,,,,2009,
54,,19.10,,,,2010,
55,,19.50,,,,2011,
56,,20.00,,,,2012,
57,,20.50,,,,2013,
58,,21.00,,,,2014,
59,,21.50,,,,2015,
60,,22.00,,,,2016,
61,,,,,,2017,
62,,,,,,2018,
63,,,,,,2019,
64,,,,,,2020,
65,46.70,22.00,,,,2005,SIL
66,43.70,22.50,,,,2006,
67,41.70,23.00,,,,2007,
68,40.30,23.50,,,,2008,
69,34.50,24.00,,,,2009,
70,28.80,24.50,,,,2010,
71,24.00,25.00,,,,2011,
72,24.30,25.50,,,,2012,
73,25.30,26.10,,,,2013,
74,25.00,26.60,,,,2014,
75,25.80,27.20,,,,2015,
76,25.40,27.70,,,,2016,
77,26.20,,,,,2017,
78,25.70,,,,,2018,
79,26.20,,,,,2019,
80,,,,,,2020,
81,37.80,18.10,,,,2005,CHA
82,38.40,18.50,,,,2006,
83,39.20,18.90,,,,2007,
84,40.10,19.30,,,,2008,
85,38.40,19.80,,,,2009,
86,36.30,20.20,,,,2010,
87,33.60,20.70,,,,2011,
88,33.60,21.10,,,,2012,
89,31.30,21.60,,,,2013,
90,29.90,22.10,,,,2014,
91,28.00,22.60,,,,2015,
92,28.50,23.10,,,,2016,
93,29.10,,,,,2017,
94,30.40,,,,,2018,
95,31.70,,,,,2019,
96,,,,,,2020,
97,14.70,16.80,,,,2005,SRI
98,14.10,17.40,,,,2006,
99,12.80,17.90,,,,2007,
100,11.90,18.40,,,,2008,
101,11.40,19.00,,,,2009,
102,11.30,19.60,,,,2010,
103,10.90,20.10,,,,2011,
104,10.30,20.70,,,,2012,
105,9.20,21.30,,,,2013,
106,8.10,22.00,,,,2014,
107,6.80,22.60,,,,2015,
108,6.30,23.30,,,,2016,
109,5.90,,,,,2017,
110,6.00,,,,,2018,
111,6.80,,,,,2019,
112,,,,,,2020,
113,14.20,13.80,,,,2005,BAG
114,13.80,14.30,,,,2006,
115,13.90,14.80,,,,2007,
116,13.60,15.30,,,,2008,
117,14.70,15.80,,,,2009,
118,15.20,16.40,,,,2010,
119,15.70,17.00,,,,2011,
120,15.50,17.60,,,,2012,
121,15.10,18.20,,,,2013,
122,14.20,18.80,,,,2014,
123,14.00,19.40,,,,2015,
124,13.30,20.00,,,,2016,
125,12.50,,,,,2017,
126,10.80,,,,,2018,
127,9.70,,,,,2019,
128,,,,,,2020,
129,37.10,15.90,,,,2005,ETH
130,35.60,16.30,,,,2006,
131,35.00,16.70,,,,2007,
132,33.50,17.10,,,,2008,
133,29.70,17.60,,,,2009,
134,27.60,18.00,,,,2010,
135,26.00,18.50,,,,2011,
136,25.30,18.90,,,,2012,
137,21.80,19.40,,,,2013,
138,17.80,19.90,,,,2014,
139,14.80,20.40,,,,2015,
140,13.80,20.90,,,,2016,
141,14.00,,,,,2017,
142,14.40,,,,,2018,
143,16.20,,,,,2019,
144,,,,,,2020,
