Event_Key,event_name,event_description,start_date,end_date
1,2007 world food prices increase,food prices increase around the world,2007-01-14,2007-12-31
2,2008 Stock Market Crash,stock market crashes leaving many bankrupt,2008-09-29,2008-11-11
3,Barack Obama becomes US president,Barack Obama becomes the first african american president,2008-11-17,2016-11-17
4,Legalization of same sex marriage,Legalization of same sex marriage in the US,2015-06-01,2015-06-01
5,Donald Trump becomes US president,Donald Trump becomes US president,2016-11-17,2020-11-17
6,Largest women’s march in history,Largest women’s march in history takes place in the US,2017-01-13,2017-01-13
7,#MeToo epidemic,The start of the #MeToo epidemic,2017-10-01,2017-10-01
8,US - Start of Covid-19 Lockdown,US - Start of Covid-19 Lockdown,2020-03-01,2020-03-01
9,US - Peak of Covid-19 Deaths,US - Peak of Covid-19 Deaths,2021-01-01,2021-01-01
10,Suez Canal is blocked for 6 days,Suez Canal is blocked for 6 days,2021-03-23,2021-03-29
11,Truth and Reconciliation Commission is formed,Truth and Reconciliation Commission is formed,2008-06-01,2008-06-01
12,Canada ends all combat missions in Afghanistan,Canada ends all combat missions in Afghanistan,2011-07-01,2011-07-01
13,Justin Trudeau becomes Prime Minister,Justin Trudeau becomes Prime Minister,2015-11-14,2015-11-14
14,Canada breaks gold medal record at Winter Olympics,Canada breaks gold medal record at Winter Olympics,2018-02-21,2018-02-21
15,Cannabis is legalized,Cannabis is legalized in Canada,2018-10-01,2018-10-01
16,Canada - Start of Covid-19 Lockdown,Canada - Start of Covid-19 Lockdown,2020-03-11,2020-03-11
17,Canada - Peak of Covid-19 Deaths,Canada - Peak of Covid-19 Deaths,2020-05-25,2020-05-25
18,Suez Canal is blocked for 6 days,Suez Canal is blocked for 6 days,2021-03-23,2021-03-29
19,Heavy rains flood Tabasco,Heavy rains flood Tabasco,2007-08-28,2007-08-28
20,Legalization of same-sex marriage,Legalization of same-sex marriage in Mexico,2015-06-08,2015-06-08
21,El Chapo is recaptured,Drug lord El Chapo is recaptured,2016-01-08,2016-01-08
22,Two earthquakes hit Mexico,Two earthquakes hit Mexico,2017-09-26,2017-09-26
23,Mexico - Peak of Covid-19 Deaths,Mexico - Peak of Covid-19 Deaths,2020-03-06,2020-03-06
24,Mexico - Start of Covid-19 Lockdown,Mexico - Start of Covid-19 Lockdown,2021-01-13,2021-01-13
25,Suez Canal is blocked for 6 days,Suez Canal is blocked for 6 days,2021-03-23,2021-03-29
26,President Mamadou Tandja assumes emergency powers,President Mamadou Tandja assumes emergency powers,2009-05-01,2009-05-01
27,Natural disasters hit (flash floods and lightning),Natural disasters hit (flash floods and lightning) in Niger,2009-09-18,2009-09-18
28,Mamadou Tandja is ousted in a coup,Mamadou Tandja is ousted in a coup,2010-02-11,2010-02-11
29,State of Emergency is declared from Jihad attacks,State of Emergency is declared from Jihad attacks,2017-03-15,2017-03-15
