crime_key,crime_index,abuse_rate,homocide_rate,corruption_perception_index,human_trafficking_over18_male,human_trafficking_over18_female,human_trafficking_under18_male,human_trafficking_under18_female
1,,0.029227,0.056747011,,,,,
2,,0.029356,0.058130909,,,,,
3,,0.02882,0.056977778,,,,,
4,,0.0278,0.054252911,,,,,
5,,0.026526,0.050272999,,,,,
6,,0.025301,0.047642245,,,,,
7,,0.024148,0.047053114,,,,,
8,0.6493,0.024264,0.04730549,73,,,,
9,0.5344,0.022971,0.045255928,73,,,,
10,0.5015,0.022942,0.044446757,74,,,,
11,0.5001,0.023813,0.049498515,76,,,,
12,0.4887,0.024859,0.053907548,74,,,,
13,0.4876,0.024926,0.053167673,75,925,848,77,44
14,0.4958,0.024684,0.049569505,71,868,765,73,41
15,0.4713,,,,,,,
16,0.472,,,,,,,
17,,0.016618,0.020643998,,,,,
18,,0.017429,0.018686422,,,,,
19,,0.017694,0.018128928,,,,,
20,,0.017523,0.018417622,,,,,
21,,0.016891,0.018076167,,,,,
22,,0.016234,0.016282273,,,,,
23,,0.015622,0.017545304,,,,,
24,0.3982,0.015274,0.0156921,84,,,,
25,0.3498,0.013956,0.014420679,81,,,,
26,0.3629,0.013562,0.01463647,81,10,,4,
27,0.3746,0.014075,0.016931902,83,2,,5,
28,0.392,0.01468,0.01682107,82,,,,
29,0.3925,0.015081,0.01796794,82,1,1,,
30,0.3928,,0.017559211,81,7,3,,
31,0.3951,,,,,,,
32,0.3967,,,,,,,
33,,0.022562,0.093589749,,,,,
34,,0.022825,0.09717353,,,,,
35,,0.023935,0.081221573,,,,,
36,,0.022644,0.126390521,,,,,
37,,0.021751,0.176083192,,,,,
38,,0.020219,0.225754506,,,,,
39,,0.018336,0.235212325,,,,,
40,0.6254,0.018071,0.221421333,34,,,,
41,0.5623,0.00271,0.194088628,34,,,,
42,0.5246,0.003318,0.166257964,35,,,,
43,0.5384,0.003792,0.170378287,31,215,123,92,48
44,0.508,0.005161,0.199126953,30,53,17,13,12
45,0.5032,0.004423,0.257089978,29,62,42,43,43
46,0.5105,0.003708,0.290710616,28,18,11,30,15
47,0.523,,,,,,,
48,0.5397,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,0.048554553,,,,,
56,,,0.044281582,33,,,,
57,0.6062,,,34,,,,
58,0.7786,,,35,,,,
59,0.766,,,34,,,,
60,0.7414,,,35,,,,
61,0.7087,,,33,,,1,
62,0.6312,,,34,1,,,
63,0.6441,,,,,,,
64,0.6377,,,,,,,
65,,,0.01753569,,,,,
66,,,0.017326444,,,,,
67,,0.031087,0.022371959,,,,,
68,,0.032397,0.029998701,,,,,
69,,,0.025188375,,,,,
70,,,0.025406678,,,,,
71,,,0.028492034,,,,,
72,,,0.016834049,31,,,,
73,,,0.017289678,30,,,,
74,,,,31,,,,
75,,,,29,,,,
76,,,,30,,,,
77,,,,30,1,9,,
78,,,,30,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,19,,,,
89,,,,19,,,,
90,,,,22,,,,
91,,,,22,,,,
92,,,,20,,,,
93,,,,20,,,,
94,,,,19,,,,
95,,,,,,,,
96,,,,,,,,
97,,,0.062368931,,,,,
98,,,0.103777538,,,,,
99,,,0.100180224,,,,,
100,,0.025253,0.054612744,,,,,
101,,0.029452,0.037657184,,,,,
102,,0.031891,0.035884999,,,,,
103,,0.032588,0.032923255,,,,,
104,,0.032211,0.029956851,40,,,,
105,0.3969,0.001983,0.026601231,37,,,,
106,0.4243,0.001942,0.023292493,38,,,,
107,0.4996,0.001814,0.02521267,37,,,,
108,0.4626,0.001695,0.02300262,36,,,,
109,0.3457,0.001517,0.024212436,38,,,,
110,0.4175,0.001361,,38,,,,
111,0.4103,,,,,,,
112,0.4022,,,,,,,
113,,0.000041,0.025835128,,,,,
114,,0.00004,0.02956263,,,,,
115,,,0.027078296,,,,,
116,,,0.028405279,,,,,
117,,,0.028912153,,,,,
118,,,0.027023468,,,,,
119,,,0.026568746,,,,,
120,0.5969,,0.027243999,26,,,,
121,0.5943,,0.028757262,27,,,,
122,0.6217,,0.029213541,25,,,,
123,0.6425,,0.025822961,25,,,,
124,0.6856,,0.022731135,26,,,,
125,0.6724,,0.022224947,28,,,,
126,0.6852,,0.023733288,26,,,,
127,0.6582,,,,,,,
128,0.6394,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,0.087924785,33,,,,
137,,,,33,,,,
138,,,,33,,,,
139,,,,33,,,,
140,,,,34,,,,
141,,,,35,,,,
142,,,,34,,,,
143,,,,,,,,
144,,,,,,,,
