medical_key,num_health_workers,gov_spending,births_supervised,contraceptive_prevalance,risk_of_maternal_death,adolescent_fertility_rate,risk_of_high_expenditure_surgical_care
1,,6454.4,0.994,,0.000264402,0.408214,0.009
2,,6828.62,0.994,,0.000270524,0.402012,0.009
3,,7181.89,0.993,0.771,0.00027187,0.39581,0.01
4,,7401.37,0.993,0.764,0.000276597,0.372522,0.01
5,,7657.56,0.993,0.764,0.000286108,0.349234,0.008
6,,7888.35,0.994,0.764,0.000282222,0.325946,0.007
7,,8080.21,0.993,,0.000290083,0.302658,0.007
8,,8342.58,0.993,0.741,0.000291023,0.27937,0.007
9,,8522.13,0.992,,0.000294522,0.263216,0.008
10,,8939.4,0.985,0.727,0.000301589,0.247062,0.007
11,,9392.07,0.991,,0.000319954,0.230908,0.007
12,,9775,0.991,0.759,0.000341953,0.214754,0.007
13,,10103.09,0.991,,0.000335573,0.1986,0.006
14,,10515.32,0.991,0.739,,0.185562,0.006
15,,10921.01,,0.739,,0.172524,0.006
16,,,,,,,0.006
17,,3296.5,0.988,,0.000165579,0.140642,0.007
18,,3788.09,0.988,0.85,0.000168765,0.138706,0.005
19,,4212.99,0.988,,0.000173713,0.13677,0.005
20,,4474.97,0.987,,0.000183518,0.132404,0.005
21,,4371.55,0.986,,0.000186323,0.128038,0.005
22,,5065.92,0.985,,0.000177307,0.123672,0.004
23,,5400.11,0.984,,0.000177385,0.119306,0.004
24,,5500.68,0.981,,0.000181879,0.11494,0.003
25,,5443.63,0.98,,0.000176028,0.108726,0.003
26,,5189.01,0.979,,0.000172353,0.102512,0.003
27,,4637.21,0.979,,0.000169381,0.096298,0.003
28,,4629.38,0.978,,0.000166052,0.090084,0.004
29,,4865.07,0.979,,0.000164385,0.08387,0.002
30,,5018.71,0.98,,,0.080346,0.003
31,,5048.37,,,,0.076822,0.003
32,,,,,,,0.003
33,,483.1,,0.737,0.00147464,0.72633,0.198
34,,512.83,0.934,0.709,0.001385272,0.71464,0.18
35,,556.04,0.937,,0.001303797,0.70295,0.174
36,,570.83,,,0.001273144,0.6943,0.179
37,,490.57,0.953,0.725,0.001304273,0.68565,0.188
38,,531.89,0.9408,,0.001161932,0.677,0.148
39,,563.11,,,0.001067729,0.66835,0.137
40,,580.22,0.996,,0.001009915,0.6597,0.154
41,,623.05,,,0.000932144,0.64849,0.151
42,,606.93,0.956,0.723,0.000906086,0.63728,0.144
43,,550.34,0.977,0.669,0.000840835,0.62607,0.148
44,,485.62,0.964,,0.00079425,0.61486,0.114
45,,506.89,,,0.00075578,0.60365,0.111
46,,521.01,,0.731,,0.594542,0.108
47,,540.37,,,,0.585434,0.101
48,,,,,,,0.107
49,,18.21,,,0.058912456,2.119904,0.874
50,,19.48,0.177,0.112,0.057739083,2.108042,0.871
51,,20.97,,,0.056563382,2.09618,0.905
52,,24.93,,,0.055205464,2.07843,0.898
53,,24.67,,,0.053493482,2.06068,0.886
54,,23.89,,0.18,0.051396114,2.04293,0.903
55,,24.93,,,0.049439915,2.02518,0.909
56,,22.77,0.293,0.139,0.04740304,2.00743,0.904
57,,24.63,,,0.045473856,1.97902,0.875
58,,25.06,,,0.043457166,1.95061,0.885
59,,25.89,0.397,0.147,0.04172191,1.9222,0.86
60,,22.57,0.391,0.17,0.039474019,1.89379,0.917
61,,28.87,,0.189,0.037567596,1.86538,0.852
62,,30.27,,0.111,,1.835134,0.847
63,,31.4,,,,1.804888,0.811
64,,,,,,,0.742
65,,32.27,0.4,0.053,0.0953978,1.506294,0.888
66,,33.62,,,0.090125152,1.483572,0.911
67,,36.17,,,0.085298845,1.46085,0.913
68,0.024,40.34,0.424,0.082,0.080292975,1.421864,0.893
69,,43.42,,,0.07481309,1.382878,0.877
70,0.023,43.97,0.608,0.11,0.069087387,1.343892,0.896
71,,59.54,,,0.063476347,1.304906,0.854
72,,59.98,,,0.05900899,1.26592,0.86
73,,82.92,0.597,0.166,0.056215599,1.238392,0.72
74,,140.99,,,0.054001198,1.210864,0.508
75,,120.91,,,0.05371099,1.183336,0.528
76,,87.1,,,0.050017594,1.155808,0.579
77,,46.69,0.816,0.225,0.048955159,1.12828,0.683
78,,44.27,,,,1.102282,0.65
79,,46.16,0.869,0.212,,1.076284,0.596
80,,,,,,,0.504
81,,31.99,,,0.094789834,2.015392,0.298
82,,34.67,,,0.094768658,1.988096,0.56
83,,34.87,,,0.091444353,1.9608,0.755
84,,37.86,,,0.090722469,1.92508,0.79
85,,35.83,,,0.087609106,1.88936,0.737
86,,36.32,0.166,0.048,0.084631123,1.85364,0.738
87,,38.55,,,0.081458762,1.81792,0.712
88,,37.41,,,0.078465314,1.7822,0.677
89,,39.97,,,0.075832019,1.74794,0.647
90,,43.78,,,0.074540384,1.71368,0.631
91,,35.11,0.243,0.057,0.072260122,1.67942,0.65
92,,35.39,,,0.070387853,1.64516,0.661
93,,30.6,,,0.068738585,1.6109,0.696
94,,29.7,,,,1.579144,0.723
95,,29.85,,0.081,,1.547388,0.732
96,,,,,,,0.707
97,,57.3,,,0.001054741,0.24535,0.471
98,,65.4,,,0.001106276,0.23412,0.454
99,,73.73,0.986,0.684,0.000999384,0.22289,0.432
100,,92.91,,,0.000970124,0.222006,0.478
101,,100.32,,,0.000941761,0.221122,0.487
102,,108.28,,,0.000893117,0.220238,0.467
103,,118.97,,,0.000869471,0.219354,0.386
104,,113.45,,,0.000848418,0.21847,0.403
105,,137.64,,,0.000835761,0.216628,0.347
106,,137.67,0.9995,,0.00082325,0.214786,0.363
107,,149.96,,,0.000807086,0.212944,0.33
